Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABDON BATISTA,36435830,48810540,62605280,65844650,62400460,63126640,64722960,63044710,63182190,65192000,62066000
ABELARDO LUZ,446167300,680662400,692750000,766837500,579947800,562305700,604764200,606396800,697968400,661728000,800447000
AGROLÂNDIA,165800100,180813300,188997500,216977600,259512200,231501500,225853000,243183800,248754000,275841000,301554000
AGRONÔMICA,84351930,87884470,96968540,118448600,134086400,125673100,138746200,155575500,158291600,161878000,186955000
ÁGUA DOCE,205616700,206253500,208502900,253496500,261044700,273565200,317771900,297990700,310516500,356256000,545991000
ÁGUAS DE CHAPECÓ,161139600,117489000,123721200,84905090,87948200,87031800,100894800,97141700,103559200,111391000,118571000
ÁGUAS FRIAS,45649830,49747690,112739900,117112200,69901740,72335980,87594200,93307100,98761600,109874000,126766000
ÁGUAS MORNAS,111461900,107704300,123094100,150493700,145819000,138402300,146847000,137239600,164490900,174756000,180121000
ALFREDO WAGNER,130668100,125951900,136414600,163892300,177694300,192916700,213006000,229721100,259521600,270030000,318156000
ALTO BELA VISTA,32077250,35657720,35855640,39898020,45057720,48233790,48788780,51585850,55910170,60655000,72493000
ANCHIETA,109195700,123820000,147281800,162915000,114199700,119248800,138445900,129241800,134502600,143688000,175522000
ANGELINA,80114820,75965360,82745530,102563900,105191600,103375300,114333600,97759230,112093700,133383000,149339000
ANITA GARIBALDI,75744960,90039690,89381840,92832080,100899500,117197500,139124800,137557900,145956200,170974000,180856000
ANITÁPOLIS,41181140,41479070,39240250,55288420,51715080,54310190,59909880,53476060,57077820,62259000,67085000
ANTÔNIO CARLOS,300522700,258688200,324020600,484072500,540850200,555357600,599424000,577414900,656108500,789080000,788434000
APIÚNA,231412600,306135400,330164700,289588500,387602000,411808700,386869300,414988500,415532200,401008000,371624000
ARABUTÃ,71203710,71407850,77226330,90654980,99248680,104974100,106410800,126169900,137614000,174014000,205798000
ARAQUARI,532599800,690004300,832601700,1017531000,1633990000,2724010000,3206663000,3928868000,4151191000,4856255000,5510946000
ARARANGUÁ,991569300,1204545000,1254563000,1339435000,1510259000,1549048000,1572795000,1724987000,1833576000,1941337000,2067725000
ARMAZÉM,97447170,106725500,108785300,136966900,167032500,160101000,165510200,168494600,190726400,210909000,230242000
ARROIO TRINTA,49320040,68505560,65695510,81827840,81356450,81216440,89756970,92187650,89321530,97443000,111049000
ARVOREDO,39178690,49316070,56830860,68032830,62700950,95565500,91388570,87210310,100362800,115571000,135522000
ASCURRA,108995600,120754800,174623500,213618300,159321100,147713800,157750500,192659400,196977800,210524000,207603000
ATALANTA,57455360,53846020,68021850,109391500,83834120,87579740,97704450,99538270,99243990,100727000,101201000
AURORA,83024550,81607720,105183000,129850700,152685600,152886900,150186800,166813400,210338300,176938000,268262000
BALNEÁRIO ARROIO DO SILVA,83341150,104960100,112702000,109757000,125115400,130894600,142875800,158894300,171555600,179680000,195738000
BALNEÁRIO BARRA DO SUL,96881750,107906900,125050200,130436700,151355200,163615800,176327300,188053300,185960700,202180000,216071000
BALNEÁRIO CAMBORIÚ,2735408000,3046187000,3347853000,3954013000,4464558000,4812598000,4931619000,5149750000,5549599000,6051067000,6212892000
BALNEÁRIO GAIVOTA,68223220,75404200,82505570,97091820,112124000,124580000,128503800,140778300,152250200,166797000,182757000
BALNEÁRIO PIÇARRAS,282332300,359192100,322065800,449503500,511935600,511354100,594627400,841169200,939638400,1109527000,1222086000
BALNEÁRIO RINCÃO,129061300,129061300,129061300,129061300,152996100,164469000,217335200,212953200,225341500,242539000,270465000
BANDEIRANTE,27557810,32290280,32441790,41768100,47095570,57170130,62748030,62541770,61176810,79441000,106897000
BARRA BONITA,24341330,24815280,25516140,30427540,31431680,33790670,38422500,39993500,35313900,36897000,42593000
BARRA VELHA,365510600,698695600,933375700,982779000,1280955000,1297219000,1300555000,1666892000,1393275000,1831228000,1843428000
BELA VISTA DO TOLDO,98942720,95742220,109428300,145080000,137802700,135393500,149702400,139123600,149970400,153413000,175770000
BELMONTE,27073950,31181020,32709650,43169630,46446900,46414140,49592170,53318860,51749340,53277000,61745000
BENEDITO NOVO,135840900,150174900,160781900,169745100,202898500,233129600,255623100,293990900,302394100,330162000,370109000
BIGUAÇU,1001116000,1186477000,1338683000,1381738000,1558399000,1455244000,1523083000,1609731000,1864510000,2217970000,2395794000
BLUMENAU,9908621000,11082983000,12101671000,13084850000,15885446000,15438661000,15405704000,16013864000,16958783000,17294179000,17783621000
BOCAINA DO SUL,46247540,53417220,44201040,55123850,58761450,64646730,70413450,68269900,77864990,86229000,96114000
BOM JARDIM DA SERRA,56027370,69526160,70472500,77810440,83543320,78719690,116194300,119837200,99802520,132717000,242312000
BOM JESUS,46692110,62286020,63531590,73065850,56648550,64665360,93090790,92071150,100707300,119112000,131102000
BOM JESUS DO OESTE,64023030,72591660,75412000,87772540,41716770,41243680,42792590,52470630,52850600,53813000,64583000
