municipios,quantidade_ucs,area_coberta,populacao_2010,populacao_2011,populacao_2012,populacao_2013,populacao_2014,populacao_2015,populacao_2016,populacao_2017,populacao_2018,populacao_2019,populacao_2020,massa_salarial_2010,massa_salarial_2011,massa_salarial_2012,massa_salarial_2013,massa_salarial_2014,massa_salarial_2015,massa_salarial_2016,massa_salarial_2017,massa_salarial_2018,massa_salarial_2019,massa_salarial_2020,pib_municipio_2010,pib_municipio_2011,pib_municipio_2012,pib_municipio_2013,pib_municipio_2014,pib_municipio_2015,pib_municipio_2016,pib_municipio_2017,pib_municipio_2018,pib_municipio_2019,pib_municipio_2020,empregados_2010,empregados_2011,empregados_2012,empregados_2013,empregados_2014,empregados_2015,empregados_2016,empregados_2017,empregados_2018,empregados_2019,empregados_2020,estabelecimentos
ABDON BATISTA,0,0,2644,2644,2635,2656,2643,2630,2617,2604,2577,2563,2548,45003.64,112374.22,182584.4,494210.31,938579.56,2322124.51,820921.92,569428.9,870089.19,634405.4,638593.5,36435830,48810540,62605280,65844650,62400460,63126640,64722960,63044710,63182190,65192000,62066000,44,88,104,246,581,1111,292,232,352,276,268,181
ABELARDO LUZ,0,0,17151,17151,17200,17584,17651,17717,17782,17847,17847,17904,17960,1971260,3044732.43,3769626.7,4242495.15,5048506.66,5485801.19,5707277.89,6547077.5,6344404.99,7097555.18,7511531.22,446167300,680662400,692750000,766837500,579947800,562305700,604764200,606396800,697968400,661728000,800447000,2059,3001,3208,3291,3484,3494,3348,3378,3303,3505,3670,1693
AGROLÂNDIA,0,0,9440,9440,9552,9957,10115,10272,10427,10581,10711,10864,11013,3057104.62,3525341.63,3816374.82,4768979.72,5442174.31,5225128.92,4910638.01,5052380.96,5502702.04,5575141.65,5745021.31,165800100,180813300,188997500,216977600,259512200,231501500,225853000,243183800,248754000,275841000,301554000,2637,2618,2639,2944,3083,2776,2557,2457,2441,2622,2700,1571
AGRONÔMICA,0,0,4954,4954,4985,5172,5239,5306,5371,5437,5385,5448,5509,533361.66,665936.07,856489.53,988298.15,1102390.53,1286354.47,1281178.68,1430290.44,1624738.75,1833998.35,1901199.41,84351930,87884470,96968540,118448600,134086400,125673100,138746200,155575500,158291600,161878000,186955000,589,626,699,718,769,761,746,732,796,849,887,655
ÁGUA DOCE,2,109,6971,6971,6979,7110,7121,7132,7143,7154,7138,7145,7152,1090635.15,1269370.99,1161454.25,1343111.37,1611577.07,1954388.25,2167374.55,2394234.43,2704752.56,2826421.35,3068535.22,205616700,206253500,208502900,253496500,261044700,273565200,317771900,297990700,310516500,356256000,545991000,1270,1265,1099,1144,1227,1270,1313,1273,1332,1356,1452,1026
ÁGUAS DE CHAPECÓ,0,0,6136,6136,6160,6313,6346,6379,6412,6445,6455,6486,6515,2384177.13,502494.48,538962.95,580742.9,612634.08,454586.11,432352.09,530381.36,670292.46,770961.89,599712.57,161139600,117489000,123721200,84905090,87948200,87031800,100894800,97141700,103559200,111391000,118571000,1200,359,383,457,404,354,297,350,432,459,370,169
ÁGUAS FRIAS,0,0,2417,2417,2409,2430,2419,2408,2397,2387,2378,2366,2354,269483.5,476402.31,669186.2,595133.35,807937.75,890729.53,961625.41,1007684.44,1161781.75,1114524.74,1232853.8,45649830,49747690,112739900,117112200,69901740,72335980,87594200,93307100,98761600,109874000,126766000,253,382,379,409,433,420,426,436,486,442,486,695
ÁGUAS MORNAS,2,83921,5618,5618,5685,5926,6020,6113,6206,6298,6378,6469,6559,581839.53,777498.93,981883.62,1122137.11,1183591.07,1354993.93,1239571.45,1429138.05,1934011.72,2109628.18,1718211.78,111461900,107704300,123094100,150493700,145819000,138402300,146847000,137239600,164490900,174756000,180121000,671,755,861,895,836,874,745,805,985,1062,936,439
ALFREDO WAGNER,4,95,9453,9453,9494,9737,9794,9850,9905,9960,9984,10036,10086,513005.19,586513.18,659317.09,804004.48,955665.59,1072878.74,1217678.61,1263038.17,1399325.52,1461055.53,1454891.86,130668100,125951900,136414600,163892300,177694300,192916700,213006000,229721100,259521600,270030000,318156000,644,679,677,741,801,788,803,799,866,876,852,666
ALTO BELA VISTA,0,0,1998,1998,1991,2007,1997,1987,1977,1967,1948,1937,1926,132592.44,194969.47,151670.74,157511.45,209932.51,206842.4,223182.75,245486.37,289924.31,316950.16,304061.1,32077250,35657720,35855640,39898020,45057720,48233790,48788780,51585850,55910170,60655000,72493000,139,174,134,133,152,137,138,141,162,184,162,542
