Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABATIÁ,7507,7457,7727,7727,7727,7727,7727,7727,7727,7727,7690
ABDON BATISTA,2644,2644,2635,2656,2643,2630,2617,2604,2577,2563,2548
ABELARDO LUZ,17151,17151,17200,17584,17651,17717,17782,17847,17847,17904,17960
ADRIANÓPOLIS,5983,5919,6328,6328,6328,6328,6328,6328,6328,6328,6281
AGROLÂNDIA,9440,9440,9552,9957,10115,10272,10427,10581,10711,10864,11013
AGRONÔMICA,4954,4954,4985,5172,5239,5306,5371,5437,5385,5448,5509
ÁGUA DOCE,6971,6971,6979,7110,7121,7132,7143,7154,7138,7145,7152
ÁGUAS DE CHAPECÓ,6136,6136,6160,6313,6346,6379,6412,6445,6455,6486,6515
ÁGUAS FRIAS,2417,2417,2409,2430,2419,2408,2397,2387,2378,2366,2354
ÁGUAS MORNAS,5618,5618,5685,5926,6020,6113,6206,6298,6378,6469,6559
AGUDOS DO SUL,9269,9371,8351,8351,8351,8351,8351,8351,8351,8351,8429
ALFREDO WAGNER,9453,9453,9494,9737,9794,9850,9905,9960,9984,10036,10086
ALMIRANTE TAMANDARÉ,117168,118623,104350,104350,104350,104350,104350,104350,104350,104350,105458
ALTAMIRA DO PARANÁ,2209,1942,4100,4100,4100,4100,4100,4100,4100,4100,3900
ALTO BELA VISTA,1998,1998,1991,2007,1997,1987,1977,1967,1948,1937,1926
ALTO PARAÍSO,2799,2741,3162,3162,3162,3162,3162,3162,3162,3162,3119
ALTO PARANÁ,14679,14770,13736,13736,13736,13736,13736,13736,13736,13736,13806
ALTO PIQUIRI,9896,9836,10135,10135,10135,10135,10135,10135,10135,10135,10092
ALTÔNIA,21933,22056,20615,20615,20615,20615,20615,20615,20615,20615,20711
ALVORADA DO SUL,11306,11406,10363,10363,10363,10363,10363,10363,10363,10363,10439
AMAPORÃ,6181,6257,5504,5504,5504,5504,5504,5504,5504,5504,5562
AMPÉRE,18989,19152,17438,17438,17438,17438,17438,17438,17438,17438,17563
ANAHY,2816,2801,2864,2864,2864,2864,2864,2864,2864,2864,2854
ANCHIETA,6323,6323,6172,6145,6066,5987,5909,5832,5721,5638,5557
ANDIRÁ,20139,20031,20530,20530,20530,20530,20530,20530,20530,20530,20451
ANGELINA,5210,5210,5171,5166,5109,5053,4998,4943,4860,4801,4743
ÂNGULO,2927,2928,2861,2861,2861,2861,2861,2861,2861,2861,2862
ANITA GARIBALDI,8497,8497,8374,8230,8055,7881,7708,7537,7313,7133,6957
ANITÁPOLIS,3213,3213,3211,3259,3256,3253,3251,3248,3236,3232,3228
ANTONINA,19011,18980,18870,18870,18870,18870,18870,18870,18870,18870,18849
ANTÔNIO CARLOS,7537,7537,7613,7906,8012,8118,8223,8327,8411,8513,8613
ANTÔNIO OLINTO,7441,7434,7347,7347,7347,7347,7347,7347,7347,7347,7343
APIÚNA,9683,9683,9764,10099,10211,10322,10432,10542,10636,10743,10848
APUCARANA,133726,134996,121924,121924,121924,121924,121924,121924,121924,121924,122896
ARABUTÃ,4196,4196,4198,4270,4273,4276,4278,4281,4266,4267,4267
ARAPONGAS,121198,123027,105588,105588,105588,105588,105588,105588,105588,105588,106978
ARAPOTI,27925,28115,26007,26007,26007,26007,26007,26007,26007,26007,26153
ARAPUÃ,3128,3068,3515,3515,3515,3515,3515,3515,3515,3515,3469
ARAQUARI,25860,25860,26875,29593,31030,32454,33867,35268,36710,38129,39524
ARARANGUÁ,61817,61817,62308,64405,65090,65769,66442,67110,67578,68228,68867
ARARUNA,13939,13970,13445,13445,13445,13445,13445,13445,13445,13445,13471
ARAUCÁRIA,141410,143843,121032,121032,121032,121032,121032,121032,121032,121032,122878
ARIRANHA DO IVAÍ,2151,2108,2420,2420,2420,2420,2420,2420,2420,2420,2389
ARMAZÉM,7821,7821,7886,8159,8251,8341,8431,8520,8587,8674,8759
ARROIO TRINTA,3503,3503,3504,3562,3563,3563,3564,3564,3551,3550,3549
ARVOREDO,2257,2257,2254,2281,2276,2271,2266,2261,2246,2240,2234
ASCURRA,7449,7449,7485,7683,7732,7781,7829,7877,7889,7934,7978
ASSAÍ,15289,15119,16225,16225,16225,16225,16225,16225,16225,16225,16099
ASSIS CHATEAUBRIAND,33397,33362,33003,33003,33003,33003,33003,33003,33003,33003,32981
ASTORGA,26011,26111,24780,24780,24780,24780,24780,24780,24780,24780,24859
ATALAIA,3902,3892,3906,3906,3906,3906,3906,3906,3906,3906,3898
ATALANTA,3291,3291,3281,3310,3296,3282,3268,3254,3226,3210,3195
AURORA,5555,5555,5561,5661,5668,5674,5681,5688,5676,5679,5683
BALNEÁRIO ARROIO DO SILVA,9858,9858,10121,10876,11248,11616,11982,12344,12705,13071,13430
BALNEÁRIO BARRA DO SUL,8614,8614,8791,9330,9580,9828,10073,10317,10550,10795,11035
BALNEÁRIO CAMBORIÚ,110748,110748,113319,120926,124557,128155,131727,135268,138732,142295,145796
BALNEÁRIO GAIVOTA,8448,8448,8655,9259,9551,9841,10128,10413,10692,10979,11260
BALNEÁRIO PIÇARRAS,17552,17552,18010,19329,19976,20617,21253,21884,22511,23147,23772
BALNEÁRIO RINCÃO,11136,11136,11136,11628,11824,12018,12212,12403,12570,12760,12946
BALSA NOVA,12787,12941,11422,11422,11422,11422,11422,11422,11422,11422,11539
BANDEIRANTE,2886,2886,2866,2865,2836,2808,2779,2751,2708,2678,2648
BANDEIRANTES,31526,31367,32066,32066,32066,32066,32066,32066,32066,32066,31951
BARBOSA FERRAZ,11714,11568,12545,12545,12545,12545,12545,12545,12545,12545,12437
BARRA BONITA,1860,1860,1853,1842,1815,1790,1764,1739,1704,1677,1651
BARRA DO JACARÉ,2781,2781,2728,2728,2728,2728,2728,2728,2728,2728,2728
BARRA VELHA,22913,22913,23422,24943,25662,26374,27080,27781,28463,29168,29860
BARRACÃO,10238,10275,9766,9766,9766,9766,9766,9766,9766,9766,9796
BELA VISTA DA CAROBA,3567,3511,3903,3903,3903,3903,3903,3903,3903,3903,3861
BELA VISTA DO PARAÍSO,15395,15397,15083,15083,15083,15083,15083,15083,15083,15083,15087
BELA VISTA DO TOLDO,6026,6026,6047,6191,6219,6248,6276,6304,6311,6337,6362
BELMONTE,2639,2639,2643,2692,2696,2700,2705,2709,2703,2706,2709
BENEDITO NOVO,10434,10434,10528,10906,11037,11168,11297,11425,11526,11652,11775
BIGUAÇU,58984,58984,59736,62383,63440,64488,65528,66558,67458,68481,69486
BITURUNA,16377,16389,15892,15892,15892,15892,15892,15892,15892,15892,15903
BLUMENAU,312635,312635,316139,329082,334002,338876,343715,348513,352460,357199,361855
BOA ESPERANÇA,4165,4105,4523,4523,4523,4523,4523,4523,4523,4523,4479
BOA ESPERANÇA DO IGUAÇU,2538,2503,2738,2738,2738,2738,2738,2738,2738,2738,2713
BOA VENTURA DE SÃO ROQUE,6411,6387,6537,6537,6537,6537,6537,6537,6537,6537,6520
BOA VISTA DA APARECIDA,7643,7591,7872,7872,7872,7872,7872,7872,7872,7872,7834
BOCAINA DO SUL,3303,3303,3314,3393,3408,3424,3440,3456,3460,3474,3488
BOCAIÚVA DO SUL,12755,12944,11136,11136,11136,11136,11136,11136,11136,11136,11280
BOM JARDIM DA SERRA,4420,4420,4443,4566,4598,4631,4663,4694,4712,4743,4772
BOM JESUS,2563,2563,2599,2721,2771,2821,2870,2919,2961,3010,3057
BOM JESUS DO OESTE,2131,2131,2130,2160,2158,2156,2153,2151,2146,2142,2139
BOM JESUS DO SUL,3577,3541,3769,3769,3769,3769,3769,3769,3769,3769,3742
BOM RETIRO,9017,9017,9090,9397,9498,9598,9698,9796,9870,9966,10060
BOM SUCESSO,6995,7032,6591,6591,6591,6591,6591,6591,6591,6591,6620
BOM SUCESSO DO SUL,3274,3264,3286,3286,3286,3286,3286,3286,3286,3286,3279
BOMBINHAS,14722,14722,15136,16311,16897,17477,18052,18623,19193,19769,20335
BORRAZÓPOLIS,6749,6592,7758,7758,7758,7758,7758,7758,7758,7758,7641
BOTUVERÁ,4527,4527,4584,4785,4864,4943,5022,5100,5169,5246,5322
BRAÇO DO NORTE,29351,29351,29672,30868,31319,31765,32209,32648,33016,33450,33876
BRAÇO DO TROMBUDO,3478,3478,3498,3599,3627,3654,3682,3709,3718,3743,3769
BRAGANEY,5473,5427,5700,5700,5700,5700,5700,5700,5700,5700,5667
BRASILÂNDIA DO SUL,2719,2651,3157,3157,3157,3157,3157,3157,3157,3157,3107
BRUNÓPOLIS,2814,2814,2778,2741,2690,2639,2589,2539,2473,2420,2368
BRUSQUE,107764,107764,109950,116634,119719,122775,125810,128818,131703,134723,137689
CAÇADOR,71334,71334,71886,74276,75048,75812,76571,77323,77863,78595,79313
CAFEARA,2914,2934,2712,2712,2712,2712,2712,2712,2712,2712,2727
CAFELÂNDIA,17775,18120,14933,14933,14933,14933,14933,14933,14933,14933,15194
CAFEZAL DO SUL,4080,4044,4263,4263,4263,4263,4263,4263,4263,4263,4236
CAIBI,6209,6209,6199,6274,6259,6243,6228,6213,6167,6148,6130
CALIFÓRNIA,8533,8570,8100,8100,8100,8100,8100,8100,8100,8100,8129
CALMON,3381,3381,3375,3416,3407,3398,3389,3380,3357,3346,3335
CAMBARÁ,25252,25360,23974,23974,23974,23974,23974,23974,23974,23974,24060
CAMBÉ,105704,106533,97390,97390,97390,97390,97390,97390,97390,97390,98024
CAMBIRA,7813,7865,7279,7279,7279,7279,7279,7279,7279,7279,7319
CAMBORIÚ,63967,63967,65520,70068,72261,74434,76592,78731,80834,82989,85105
CAMPINA DA LAGOA,14366,14202,15270,15270,15270,15270,15270,15270,15270,15270,15149
