Município,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Totais,1613503549.28,1924882664.16,2214227058.74,2509391314.1,2928816216.44,3289721124.18,3470456805.9,3631744824.79,3890317957.17,4132690332.79,4301976047.76,4416118401.31,5379025096.62
ABDON BATISTA,41844.5,45003.64,112374.22,182584.4,494210.31,938579.56,2322124.51,820921.92,569428.9,870089.19,634405.4,638593.5,937169.35
ABELARDO LUZ,1773529.95,1971260,3044732.43,3769626.7,4242495.15,5048506.66,5485801.19,5707277.89,6547077.5,6344404.99,7097555.18,7511531.22,8677417.78
AGROLÂNDIA,2626108.64,3057104.62,3525341.63,3816374.82,4768979.72,5442174.31,5225128.92,4910638.01,5052380.96,5502702.04,5575141.65,5745021.31,8389124.6
AGRONÔMICA,376296.79,533361.66,665936.07,856489.53,988298.15,1102390.53,1286354.47,1281178.68,1430290.44,1624738.75,1833998.35,1901199.41,2371160.91
ÁGUA DOCE,862936.84,1090635.15,1269370.99,1161454.25,1343111.37,1611577.07,1954388.25,2167374.55,2394234.43,2704752.56,2826421.35,3068535.22,3560766.35
ÁGUAS DE CHAPECÓ,4443046.01,2384177.13,502494.48,538962.95,580742.9,612634.08,454586.11,432352.09,530381.36,670292.46,770961.89,599712.57,843950.6
ÁGUAS FRIAS,412270.01,269483.5,476402.31,669186.2,595133.35,807937.75,890729.53,961625.41,1007684.44,1161781.75,1114524.74,1232853.8,1623139.05
ÁGUAS MORNAS,502486.07,581839.53,777498.93,981883.62,1122137.11,1183591.07,1354993.93,1239571.45,1429138.05,1934011.72,2109628.18,1718211.78,2145405.65
ALFREDO WAGNER,433386.63,513005.19,586513.18,659317.09,804004.48,955665.59,1072878.74,1217678.61,1263038.17,1399325.52,1461055.53,1454891.86,1885124.56
ALTO BELA VISTA,109921.1,132592.44,194969.47,151670.74,157511.45,209932.51,206842.4,223182.75,245486.37,289924.31,316950.16,304061.1,379352.01
ANCHIETA,410301.87,477504.98,565973.43,629184.29,712454.59,829059.05,923830.28,1049278.03,1096414.61,1226294.62,1260474.06,1422336.82,1770360
ANGELINA,156532.11,276916.8,333859.21,454589.35,520199.57,701784.86,572163.93,556906.99,611908.68,954727.53,668746.6,811204.34,1016118.99
ANITA GARIBALDI,342522.65,432080.67,518270.33,608407.94,726418.94,815582.81,929757.95,1037097.55,1231725.35,1192175.37,1230565.5,1398853.91,1678199.4
ANITÁPOLIS,138505.86,202048.69,179420.06,189520.96,214802.21,210761.79,274893.84,334948.73,344033.4,507271.79,521757.82,522628.51,628232.76
ANTÔNIO CARLOS,1279882.65,1692112.88,1788582.16,2258304.19,3556806.27,2798164.47,3328909.18,3296910.56,5553788.56,6048002.09,4466895.35,4750371.12,5586226.52
APIÚNA,3129740.17,3467173.22,3651206.29,4226477.89,4253863.13,4738853.14,4893190.07,5121767.73,5269455.17,5413748.74,5486751.39,5059106.65,6310476.62
ARABUTÃ,161197.04,215846.4,263604.12,346396.12,361207.54,388900.51,429842.37,514293.46,698474.21,885111.5,980294.96,1129399.68,1521585.44
ARAQUARI,4404280.45,6719433.99,9176244.6,11672463.36,14661298.15,19706063.09,20996101.86,23708288.18,28932638.4,32383857.4,33756090.7,38330956.21,46547920.18
ARARANGUÁ,9431387.99,11635314.34,13195931.12,14750086,16647926.95,18893070.43,19795944.31,20706379.57,22236951.59,23557484.54,23208683.69,23182332.35,29951471.02
ARMAZÉM,1116936.76,1405421.85,1552648.54,1824089.38,2074723.94,2181420.86,2705466.61,3083934.59,3345224.69,3408618.16,3566350.99,3521222.85,4649073.84
ARROIO TRINTA,509166.4,561097.51,621918.44,702564.33,876551.25,965128.61,1014142.36,994820.45,1059430.31,1079307.85,1205007.21,1328086.45,1399630.95
ARVOREDO,55876.35,68273.15,96416.68,151439.25,261713.37,346768.07,358109.06,475768.58,686532.9,855075.32,1224789.22,1042744.92,1066743.28
ASCURRA,1519165.08,1726792.29,1975434.63,2356504.41,2628198.99,2666410.19,3010921.23,3632506.66,4017622.67,4266697.71,4323711.68,4119567.69,4994947.23
ATALANTA,256512.32,326156.09,397777.26,469307.24,521425.76,622281.55,651599.1,541575.49,818290.61,746803.82,570940.94,607173.13,854361.92
AURORA,359511.87,464909.42,517418.06,712839.18,913081.59,1137234.86,1321707.22,1538951.73,1761603.66,1946258.41,2345408.74,2847148.88,3802359.71
BALNEÁRIO ARROIO DO SILVA,404034.62,524584.72,509171.24,590383.06,868070.89,947674.17,947251.44,1094061.7,1184914.73,1137506.86,1147208.28,1012080.6,1344487.51
BALNEÁRIO BARRA DO SUL,491134.57,660570.96,769098.96,1014728.99,1173485.7,1278452.51,1449467.41,1445133.1,1593437.6,1508185.95,1505939.73,1552159.17,1838512.55
BALNEÁRIO CAMBORIÚ,27620803.7,33571741.85,40155892.97,48462283.07,55853393.17,66875808.15,72064233.75,75404336.68,80919358.41,89399847.64,92408526,85814050.43,108288999.36
BALNEÁRIO GAIVOTA,312970,388809.61,446478.97,527774.99,667600.34,798655.74,945571.22,953161.81,1013994.85,1146445.49,1280975.17,1176351.53,1579442.53
BALNEÁRIO PIÇARRAS,2669788.89,3297044.14,3782148.63,4807513.05,5739981.13,6693856.28,6880234.25,6626770.65,7226085.15,7155313,9485914.04,9574714.36,12113697.86
