municipio,uc_count
FLORIANÓPOLIS (SC),20
ITAIÓPOLIS (SC),10
URUBICI (SC),9
JOINVILLE (SC),7
BOM RETIRO (SC),6
NOVA TRENTO (SC),6
PAULO LOPES (SC),6
ITAJAÍ (SC),5
PORTO BELO (SC),4
ITAPOÁ (SC),4
PALHOÇA (SC),4
ALFREDO WAGNER (SC),4
RIO NEGRINHO (SC),4
BALNEÁRIO CAMBORIÚ (SC),3
PORTO UNIÃO (SC),3
ANTÔNIO CARLOS (SC),3
SÃO BENTO DO SUL (SC),3
SÃO FRANCISCO DO SUL (SC),3
BLUMENAU (SC),3
VIDAL RAMOS (SC),3
URUPEMA (SC),2
GRÃO PARÁ (SC),2
GUARAMIRIM (SC),2
ÁGUA DOCE (SC),2
RIO DO SUL (SC),2
ANITÁPOLIS (SC),2
JARAGUÁ DO SUL (SC),2
NOVA VENEZA (SC),2
ORLEANS (SC),2
SANTO AMARO DA IMPERATRIZ (SC),2
GAROPABA (SC),2
GOVERNADOR CELSO RAMOS (SC),2
ÁGUAS MORNAS (SC),2
APIÚNA (SC),2
BOTUVERÁ (SC),2
BRUSQUE (SC),2
BIGUAÇU (SC),2
GASPAR (SC),1
RIO RUFINO (SC),1
BARRA VELHA (SC),1
SIDERÓPOLIS (SC),1
SCHROEDER (SC),1
BELA VISTA DO TOLDO (SC),1
SANTA ROSA DE LIMA (SC),1
RIO DOS CEDROS (SC),1
BENEDITO NOVO (SC),1
SÃO DOMINGOS (SC),1
RANCHO QUEIMADO (SC),1
PRESIDENTE NEREU (SC),1
BOCAINA DO SUL (SC),1
SÃO BONIFÁCIO (SC),1
BANDEIRANTE (SC),1
PONTE SERRADA (SC),1
SÃO JOAQUIM (SC),1
SÃO JOSÉ (SC),1
SÃO MARTINHO (SC),1
SÃO PEDRO DE ALCÂNTARA (SC),1
TIMBÓ (SC),1
TREVISO (SC),1
TRÊS BARRAS (SC),1
TUBARÃO (SC),1
BALNEÁRIO PIÇARRAS (SC),1
BALNEÁRIO ARROIO DO SILVA (SC),1
VARGEM BONITA (SC),1
ASCURRA (SC),1
VIDEIRA (SC),1
VITOR MEIRELES (SC),1
BOM JARDIM DA SERRA (SC),1
PASSOS MAIA (SC),1
BOMBINHAS (SC),1
ITUPORANGA (SC),1
DOUTOR PEDRINHO (SC),1
GUABIRUBA (SC),1
CURITIBANOS (SC),1
GUARUJÁ DO SUL (SC),1
GUATAMBÚ (SC),1
IBIRAMA (SC),1
ILHOTA (SC),1
IMARUÍ (SC),1
IMBITUBA (SC),1
INDAIAL (SC),1
CRICIÚMA (SC),1
CORUPÁ (SC),1
ITAPEMA (SC),1
CONCÓRDIA (SC),1
IÇARA (SC),1
GALVÃO (SC),1
CHAPECÓ (SC),1
CAÇADOR (SC),1
CAMPOS NOVOS (SC),1
LAGES (SC),1
LAGUNA (SC),1
LAURENTINO (SC),1
LEOBERTO LEAL (SC),1
MAFRA (SC),1
MORRO GRANDE (SC),1
NAVEGANTES (SC),1
CAMPO BELO DO SUL (SC),1
CAMPO ALEGRE (SC),1
PAIAL (SC),1
PAINEL (SC),1
JAGUARUNA (SC),1
