Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABDON BATISTA,44,88,104,246,581,1111,292,232,352,276,268
ABELARDO LUZ,2059,3001,3208,3291,3484,3494,3348,3378,3303,3505,3670
AGROLÂNDIA,2637,2618,2639,2944,3083,2776,2557,2457,2441,2622,2700
AGRONÔMICA,589,626,699,718,769,761,746,732,796,849,887
ÁGUA DOCE,1270,1265,1099,1144,1227,1270,1313,1273,1332,1356,1452
ÁGUAS DE CHAPECÓ,1200,359,383,457,404,354,297,350,432,459,370
ÁGUAS FRIAS,253,382,379,409,433,420,426,436,486,442,486
ÁGUAS MORNAS,671,755,861,895,836,874,745,805,985,1062,936
ALFREDO WAGNER,644,679,677,741,801,788,803,799,866,876,852
ALTO BELA VISTA,139,174,134,133,152,137,138,141,162,184,162
ANCHIETA,584,633,644,651,685,709,739,693,733,750,794
ANGELINA,346,369,488,485,548,411,384,392,519,444,512
ANITA GARIBALDI,580,613,629,646,684,724,705,762,755,748,825
ANITÁPOLIS,213,196,184,188,189,207,228,218,279,292,280
ANTÔNIO CARLOS,1567,1582,1686,2696,1740,1828,1748,2472,2344,2005,2141
APIÚNA,2757,2717,2956,2817,2799,2691,2576,2538,2491,2521,2391
ARABUTÃ,251,284,324,309,302,327,335,383,462,465,527
ARAQUARI,5507,6802,7531,8553,9957,9845,10092,12370,13232,13685,15300
ARARANGUÁ,11329,11832,11794,12284,12777,12207,11823,12133,12555,12843,12543
ARMAZÉM,1723,1763,1842,1875,1854,1950,2022,2073,2034,2098,2079
ARROIO TRINTA,665,686,696,745,741,718,623,644,633,651,668
ARVOREDO,78,107,154,243,295,267,304,426,527,690,581
ASCURRA,1799,1868,2022,1999,1898,1918,2115,2198,2244,2170,2054
ATALANTA,345,380,409,414,438,435,345,441,392,319,344
AURORA,488,505,600,659,754,786,834,915,973,1108,1312
BALNEÁRIO ARROIO DO SILVA,618,555,614,769,764,673,709,718,696,683,652
BALNEÁRIO BARRA DO SUL,698,688,861,850,880,892,847,873,754,765,781
BALNEÁRIO CAMBORIÚ,31873,33773,35629,36358,38217,37843,37265,38187,39723,41398,39454
BALNEÁRIO GAIVOTA,496,515,567,633,666,700,695,682,733,829,775
BALNEÁRIO PIÇARRAS,2797,2853,3232,3424,3749,3648,3353,3457,3347,3894,3839
BALNEÁRIO RINCÃO,237,237,237,237,430,710,1245,1347,1101,1132,1259
BANDEIRANTE,42,61,66,58,195,186,183,206,196,223,300
BARRA BONITA,29,29,33,32,31,27,53,56,77,70,54
BARRA VELHA,2891,3497,3712,4225,4454,4437,4347,4659,5395,7140,6447
BELA VISTA DO TOLDO,167,163,189,189,198,178,163,154,177,174,185
BELMONTE,109,129,164,174,179,170,151,152,156,157,180
BENEDITO NOVO,2915,2772,2770,2915,2932,2896,2869,2759,2638,2605,2629
BIGUAÇU,9044,10110,11087,11791,11704,11054,10607,10678,11515,12075,13172
BLUMENAU,111287,114234,115273,117493,117225,112772,108082,109408,110802,109849,109955
BOCAINA DO SUL,99,119,128,140,155,201,186,206,191,218,216
BOM JARDIM DA SERRA,295,316,305,300,309,324,315,306,312,359,319
BOM JESUS,237,226,248,267,295,295,303,301,334,336,335
BOM JESUS DO OESTE,91,113,94,111,120,111,101,136,140,132,156
BOM RETIRO,1429,1228,1219,1347,1329,1269,1204,1190,1115,1162,1082
BOMBINHAS,3276,3479,3661,3814,4053,4205,4663,4986,5007,4735,4879
BOTUVERÁ,1491,1579,1758,1962,1992,1809,1830,1876,1827,1953,2035
BRAÇO DO TROMBUDO,1095,1167,1143,1203,1186,1096,1112,925,955,938,980
BRUNÓPOLIS,86,78,74,87,148,98,105,185,198,194,206
BRUSQUE,41448,42111,43173,43726,44846,42309,40395,42157,43410,42941,43843
CAÇADOR,19409,19479,19646,20833,20894,20217,20282,20163,20835,21230,22329
CAIBI,865,920,962,1045,1109,1040,1026,1001,1036,1097,1209
CALMON,364,345,310,330,314,288,294,310,301,363,396
CAMBORIÚ,5960,6626,7076,8005,7805,7719,7281,7475,8503,8736,9122
CAMPO ALEGRE,2105,2801,3358,3672,3895,3474,3586,4064,4182,4456,4526
CAMPO BELO DO SUL,804,821,785,908,939,950,911,916,983,772,935
CAMPO ERÊ,993,1006,1058,1068,1209,1229,1251,1428,1505,1524,1589
CAMPOS NOVOS,6031,7000,7455,7818,8300,8642,8535,8298,8297,8743,9040
CANELINHA,2068,2157,2070,2133,2061,1994,1734,1887,1817,1955,1989
CANOINHAS,8405,8791,8993,9094,9583,9261,8985,9131,9108,9370,10045
CAPÃO ALTO,300,327,341,303,325,320,346,334,398,405,414
CAPINZAL,8054,8361,8227,8194,8070,7809,7580,7829,7710,8358,8878
CAPIVARI DE BAIXO,2876,3127,3359,3482,3364,3292,3046,3017,3175,3234,3496
CATANDUVAS,2246,2155,2332,2422,2447,2447,2502,2673,2595,2744,2822
CAXAMBU DO SUL,199,238,279,289,288,285,290,304,354,387,442
CELSO RAMOS,123,134,176,213,215,201,195,206,187,188,196
CERRO NEGRO,78,65,82,103,87,100,134,118,115,124,99
CHAPADÃO DO LAGEADO,83,53,49,66,58,72,79,88,81,85,98
CHAPECÓ,59092,64226,60898,68781,69274,66600,65433,67395,68490,74492,78878
COCAL DO SUL,3997,4296,4042,4139,4417,4470,4377,4409,4469,4795,4735
CONCÓRDIA,21870,22698,17540,23754,24425,23507,22768,23426,24111,25948,25925
CORDILHEIRA ALTA,1142,1337,1338,1360,1354,1540,1440,1471,1583,1582,1813
CORONEL FREITAS,1481,1596,1624,1650,1700,1566,1601,1585,1711,1780,1805
CORONEL MARTINS,90,82,93,146,116,111,113,87,82,82,83
CORREIA PINTO,2136,2175,2181,2333,2408,2317,2318,2366,2420,2538,2543
CORUPÁ,3802,3778,3862,3880,3908,3834,3591,3713,3765,3944,4034
CRICIÚMA,48940,51724,53259,55181,55840,54583,53737,53799,54972,57166,56772
CUNHA PORÃ,1673,1777,1903,2348,2319,2382,2245,2282,2354,2403,2565
CUNHATAÍ,115,127,120,136,157,177,174,196,192,196,205
CURITIBANOS,5855,6497,6590,7039,7340,7147,7300,7410,7415,7545,7684
DESCANSO,712,800,849,891,911,866,858,852,849,902,896
DIONÍSIO CERQUEIRA,938,1033,1137,1293,1280,1330,1411,1352,1412,1511,1487
DONA EMMA,737,823,911,920,952,906,883,932,985,961,1007
DOUTOR PEDRINHO,795,817,872,963,987,953,974,980,885,867,838
ENTRE RIOS,50,56,132,94,87,75,85,69,64,65,56
ERMO,128,176,180,220,245,271,278,273,367,631,668
ERVAL VELHO,566,593,612,613,687,677,670,668,624,676,729
FAXINAL DOS GUEDES,3062,3211,2390,3258,3209,3160,2963,3123,3080,3271,3349
FLOR DO SERTÃO,44,129,108,147,131,122,165,146,166,207,228
FLORIANÓPOLIS,127467,136037,141972,147047,153304,149780,146759,142896,147455,154647,147935
FORMOSA DO SUL,102,120,138,167,152,151,148,133,160,143,170
