"Município","Estabelecimentos"
"Florianópolis","121,928"
"Joinville","101,692"
"Blumenau","66,266"
"Itajaí","54,253"
"São José","45,627"
"Chapecó","41,249"
"Balneário Camboriú","37,022"
"Palhoça","36,556"
"Criciúma","32,537"
"Jaraguá do Sul","30,069"
"Brusque","22,809"
"Lages","20,668"
"Tubarão","18,720"
"Itapema","18,554"
"Camboriú","16,301"
"Biguaçu","14,320"
"Navegantes","12,967"
"Rio do Sul","12,651"
"Gaspar","12,150"
"Indaial","11,167"
"São Bento do Sul","11,089"
"Araranguá","10,381"
"Concórdia","10,319"
"Xanxerê","9,354"
"Imbituba","8,691"
"Içara","8,071"
"Timbó","8,063"
"Caçador","7,827"
"São Francisco do Sul","7,739"
"Tijucas","7,709"
"Araquari","7,180"
"Barra Velha","7,159"
"Videira","6,964"
"São Miguel do Oeste","6,842"
"Mafra","6,527"
"Canoinhas","6,283"
"Penha","6,195"
"Guaramirim","6,147"
"Garopaba","5,577"
"Porto Belo","5,403"
"Joaçaba","5,233"
"Itapoá","5,204"
"Pomerode","5,060"
"Balneário Piçarras","4,959"
"Rio Negrinho","4,768"
"Bombinhas","4,767"
"Sombrio","4,624"
"Curitibanos","4,618"
"Braço do Norte","4,400"
"Maravilha","4,324"
"Laguna","4,300"
"São João Batista","4,212"
"Campos Novos","4,180"
"Xaxim","4,047"
"Pinhalzinho","3,844"
"São Lourenço do Oeste","3,826"
"Porto União","3,761"
"Santo Amaro da Imperatriz","3,668"
"Guabiruba","3,427"
"Ituporanga","3,374"
"Fraiburgo","3,338"
"Forquilhinha","3,280"
"Jaguaruna","3,046"
"Schroeder","2,885"
"Orleans","2,818"
"Taió","2,767"
"Garuva","2,647"
"Capivari de Baixo","2,548"
"São Joaquim","2,518"
"Ibirama","2,472"
"Morro da Fumaça","2,446"
"Presidente Getúlio","2,369"
"Ilhota","2,318"
"Massaranduba","2,307"
"Capinzal","2,297"
"Governador Celso Ramos","2,175"
"Herval d´Oeste","2,135"
"Dionísio Cerqueira","2,097"
"Itapiranga","2,078"
"Corupá","2,062"
"Urussanga","2,061"
"Otacílio Costa","2,047"
"Cocal do Sul","2,042"
"Pouso Redondo","2,038"
"Seara","2,035"
"Nova Trento","2,008"
"Balneário Gaivota","1,967"
"Papanduva","1,954"
"Itaiópolis","1,928"
"Rodeio","1,883"
"Urubici","1,828"
"Balneário Rincão","1,821"
"Palmitos","1,807"
"Turvo","1,787"
"São José do Cedro","1,769"
"Nova Veneza","1,758"
"Santa Cecília","1,750"
"Luiz Alves","1,731"
"São Ludgero","1,717"
"Lontras","1,712"
"Abelardo Luz","1,693"
