codigo_uc,ano_criação,municipio,area_soma,area_continental
0000.00.0001,1992,GOVERNADOR CELSO RAMOS (SC),4436,1870
0000.00.0006,2000,FLORIANÓPOLIS (SC),154859,34865
0000.00.0006,2000,GAROPABA (SC),154859,34865
0000.00.0006,2000,IÇARA (SC),154859,34865
0000.00.0006,2000,IMBITUBA (SC),154859,34865
0000.00.0006,2000,JAGUARUNA (SC),154859,34865
0000.00.0006,2000,LAGUNA (SC),154859,34865
0000.00.0006,2000,PALHOÇA (SC),154859,34865
0000.00.0006,2000,PAULO LOPES (SC),154859,34865
0000.00.0006,2000,TUBARÃO (SC),154859,34865
0000.00.0045,1996,VITOR MEIRELES (SC),5016,5017
0000.00.0052,1987,FLORIANÓPOLIS (SC),664,646
0000.00.0078,1968,CAÇADOR (SC),706,707
0000.00.0080,1968,CHAPECÓ (SC),1604,1604
0000.00.0080,1968,GUATAMBÚ (SC),1604,1604
0000.00.0093,1988,APIÚNA (SC),519,519
0000.00.0093,1988,ASCURRA (SC),519,519
0000.00.0093,1988,IBIRAMA (SC),519,519
0000.00.0134,1968,TRÊS BARRAS (SC),4385,4385
0000.00.0150,2004,VIDAL RAMOS (SC),56918,56918
0000.00.0150,2004,PRESIDENTE NEREU (SC),56918,56918
0000.00.0150,2004,INDAIAL (SC),56918,56918
0000.00.0150,2004,GUABIRUBA (SC),56918,56918
0000.00.0150,2004,GASPAR (SC),56918,56918
0000.00.0150,2004,BOTUVERÁ (SC),56918,56918
0000.00.0150,2004,BLUMENAU (SC),56918,56918
0000.00.0150,2004,APIÚNA (SC),56918,56918
0000.00.0165,1961,BOM JARDIM DA SERRA (SC),49672,49672
0000.00.0165,1961,GRÃO PARÁ (SC),49672,49672
0000.00.0165,1961,ORLEANS (SC),49672,49672
0000.00.0165,1961,URUBICI (SC),49672,49672
0000.00.0214,1990,BOMBINHAS (SC),17105,357
0000.00.0214,1990,FLORIANÓPOLIS (SC),17105,357
0000.00.0214,1990,GOVERNADOR CELSO RAMOS (SC),17105,357
0000.00.0255,1992,FLORIANÓPOLIS (SC),1686,782
0000.00.0262,2005,PASSOS MAIA (SC),12809,12810
0000.00.0262,2005,PONTE SERRADA (SC),12809,12810
0000.42.0780,1980,GRÃO PARÁ (SC),1330,1330
