,municipios,quantidade_ucs,estabelecimentos,area_coberta,delta_pib,delta_populacao,delta_massa_salarial,area_coberta_class,delta_pib_class,delta_populacao_class,delta_massa_salarial_class
88,FLORIANÓPOLIS,20,148,279607,10035767000,81528,196376672.82,high,high,high,high
189,PAULO LOPES,6,721,244407,97011800,818,1309587.97,high,low,low,low
181,PALHOÇA,4,1954,244108,3845147000,35282,55327890.949999996,high,good,good,good
94,GAROPABA,2,1532,160199,453432100,5059,6303022.4399999995,high,moderate,moderate,moderate
133,JAGUARUNA,1,101692,154859,592106400,2792,4811854.88,high,moderate,moderate,moderate
112,IMBITUBA,1,1437,154859,1446050600,4772,9470767.48,high,good,moderate,moderate
276,TUBARÃO,1,1828,154859,2063171000,8589,28859999.490000002,high,good,good,good
142,LAGUNA,1,782,154859,488399800,-5747,3235034.5900000003,high,moderate,none,low
109,IÇARA,1,11167,154859,1632739000,-2369,26316939.51,high,good,none,good
235,SANTO AMARO DA IMPERATRIZ,2,389,84828,604710300,3497,5508811.140000001,good,moderate,moderate,moderate
7,ÁGUAS MORNAS,2,439,83921,68659100,941,1136372.25,good,none,low,low
253,SÃO MARTINHO,1,825,83908,41657910,-34,567778.94,good,none,none,none
238,SÃO BONIFÁCIO,1,213,83908,45730800,-178,266175.26,good,none,none,none
111,IMARUÍ,1,493,83908,128210600,-1592,809150.6399999999,good,low,none,low
38,BLUMENAU,3,374,62296,7875000000,49220,137298956.14,good,high,high,high
286,VIDAL RAMOS,3,9354,57447,210726400,42,896492.23,good,low,none,low
15,APIÚNA,2,1025,57437,140211400,1165,1591933.4300000002,good,low,low,low
45,BOTUVERÁ,2,806,56963,246257400,795,3898296.62,good,low,low,low
96,GASPAR,1,3427,56918,1923443000,11924,28324320.44,good,good,good,good
114,INDAIAL,1,597,56918,1703421000,14920,28254468.46,good,good,good,good
209,PRESIDENTE NEREU,1,618,56918,25604660,0,131265.63,good,none,none,none
100,GUABIRUBA,1,731,56918,496358100,5533,10273913.8,good,moderate,moderate,moderate
280,URUBICI,9,193,55557,179287900,539,1128246.48,good,low,low,low
175,ORLEANS,2,125,51002,407393300,1540,7694760.92,good,moderate,moderate,moderate
98,GRÃO PARÁ,2,6147,51002,163547030,349,1817741.0700000003,good,low,low,low
40,BOM JARDIM DA SERRA,1,4767,49672,186284630,352,361026.19000000006,good,low,low,none
137,JOINVILLE,7,20668,46460,18139372000,76753,225450942.45999998,moderate,high,high,high
236,SÃO BENTO DO SUL,3,1435,23951,1755395000,9901,32974007.099999998,moderate,good,good,good
219,RIO NEGRINHO,4,308,22659,735197200,2484,11826480.26,moderate,moderate,moderate,moderate
97,GOVERNADOR CELSO RAMOS,2,1023,21541,251639600,1499,2124939.53,moderate,low,moderate,low
44,BOMBINHAS,1,22809,17105,504333800,5613,5626565.710000001,moderate,moderate,moderate,moderate
242,SÃO FRANCISCO DO SUL,3,1428,13370,2650768000,10441,10787529.87,moderate,good,good,moderate
188,PASSOS MAIA,1,391,12809,47852660,-291,811156.81,moderate,none,none,low
202,PONTE SERRADA,1,1087,12809,95919600,566,1169866.51,moderate,low,low,low
173,NOVA VENEZA,2,138,7856,448526300,1894,7912741.22,moderate,moderate,moderate,moderate
261,SIDERÓPOLIS,1,828,7853,338728800,1023,3915508.04,moderate,low,low,low
168,MORRO GRANDE,1,2008,7853,52468210,0,-972022.14,moderate,none,none,none
272,TREVISO,1,18720,7853,105632900,409,2844401.27,moderate,low,low,low
54,CAMPO BELO DO SUL,1,2297,6342,125818600,-488,846104.49,moderate,low,none,low
281,URUPEMA,2,380,5291,42747070,-20,360654.32,moderate,none,none,none
180,PAINEL,1,1807,5255,22425230,4,320077.63,moderate,none,none,none
220,RIO RUFINO,1,1078,5255,40228780,45,328222.57,moderate,none,low,none
39,BOCAINA DO SUL,1,1057,5255,49866460,185,260275.56,moderate,none,low,none
82,DOUTOR PEDRINHO,1,1275,5067,94480520,470,947669.75,moderate,low,low,low
36,BENEDITO NOVO,1,384,5067,234268100,1341,2664014.4,moderate,low,low,low
288,VITOR MEIRELES,1,4047,5016,57797380,-241,785110.2900000002,moderate,none,none,low
271,TRÊS BARRAS,1,1558,4385,913260700,1159,9800433.16,moderate,moderate,low,moderate
41,BOM JESUS,6,626,4257,84409890,494,485211.97,moderate,none,low,none
14,ANTÔNIO CARLOS,3,10381,3313,487911300,1076,3058258.24,moderate,moderate,low,low
127,ITAPEMA,1,491,2601,1607382700,20011,26397833.479999997,moderate,good,good,good
129,ITAPOÁ,4,3046,2172,959935800,5959,6757321.700000001,moderate,moderate,moderate,moderate
126,ITAJAÍ,5,8071,2064,23023764000,36985,120335357.64999999,low,high,high,high
258,SCHROEDER,1,6842,1616,341045800,6201,4247567.58,low,low,good,low
67,CHAPECÓ,1,1158,1604,7350235000,37676,124753381.39999999,low,high,high,high
104,GUATAMBÚ,1,2472,1604,115874600,20,3133796.59,low,low,none,low
37,BIGUAÇU,2,224,1377,1394678000,10502,19845039.910000004,low,moderate,good,good
74,CORUPÁ,1,4618,1156,392324300,2101,4896137.87,low,low,moderate,moderate
56,CAMPOS NOVOS,1,175,1134,1129837000,3483,14513196.42,low,moderate,moderate,moderate
125,ITAIÓPOLIS,10,928,949,496117600,1385,3737996.2699999996,low,moderate,low,low
69,CONCÓRDIA,1,1466,724,2243103000,6119,34509213.05,low,good,moderate,good
49,CAÇADOR,1,579,706,2432669000,7979,31683633.550000004,low,good,good,good
93,GALVÃO,1,2175,626,18136790,-623,220647.47,low,none,none,none
241,SÃO DOMINGOS,1,275,626,155568500,-54,504130.24,low,low,none,none
110,ILHOTA,1,260,546,533054200,1867,3750790.85,low,moderate,moderate,low
22,ASCURRA,1,1612,519,98607400,529,2392775.4,low,low,low,low
108,IBIRAMA,1,601,519,217135400,1648,6763471.0600000005,low,low,moderate,moderate
48,BRUSQUE,2,1573,518,3655560000,29925,56929653.92999999,low,good,good,good
33,BARRA VELHA,1,14320,429,1477917400,6947,10247772.84,low,good,good,moderate
34,BELA VISTA DO TOLDO,1,66266,317,76827280,336,171829.88999999998,low,none,low,none
